id,player_id,team_id,match_id,tries,assists,points,kicks,passes,runs,meters,breaks,def_beaten,offloads,turnovers,tackles_made,tackles_missed,lineouts_won_on_throw,lineouts_stolen_from_opp,pens_conceded,yellow_cards,red_cards
11786,14887,6,25711,0,0,0,0,0,8,15,0,0,1,0,7,0,0,0,0,0,0
11787,14103,5,25705,0,0,0,0,0,4,14,0,0,1,1,8,0,0,0,1,0,0
11788,14949,10,25709,0,0,0,1,0,2,0,0,0,0,1,2,0,0,0,0,0,0
11789,15683,5,25694,0,0,0,0,0,4,4,0,0,1,1,2,0,0,0,1,0,0
11790,14225,5,25694,0,0,0,0,0,1,0,0,0,0,0,4,0,1,1,1,0,0
11791,14643,8,25714,0,0,0,4,0,3,18,0,1,1,0,5,0,1,0,1,0,0
11792,16065,9,25702,0,0,0,0,0,3,1,0,0,0,0,6,0,0,0,0,0,0
11793,14208,6,25711,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,1,0,0
11794,15676,6,25711,0,0,0,0,0,5,13,0,0,1,1,9,2,3,0,0,0,0
11795,13793,5,25705,0,0,0,0,0,1,4,0,0,0,0,5,0,1,0,0,0,0
11796,13713,5,25705,0,0,0,0,0,2,3,0,0,0,3,8,1,7,1,1,1,0
11797,15777,5,25694,0,0,0,0,0,3,23,0,1,1,1,6,0,0,0,1,0,0
11798,15660,5,25694,0,0,0,0,0,2,11,0,1,0,0,1,0,0,0,0,0,0
11799,14108,8,25714,1,0,5,0,0,2,28,1,0,0,0,7,0,0,0,1,0,0
11800,14020,8,25714,0,0,0,0,0,4,11,0,0,1,0,3,1,0,0,0,0,0
11801,15681,9,25702,0,0,0,0,0,6,21,0,0,0,0,3,0,2,0,2,0,0
11802,14010,6,25711,0,0,0,0,0,3,14,0,0,0,0,3,1,2,0,0,0,0
11803,14879,6,25711,0,0,0,0,0,7,8,0,1,0,1,6,0,4,0,1,0,0
11804,14355,5,25705,0,0,0,0,0,3,12,0,0,0,0,19,0,0,0,1,0,0
11805,15916,5,25694,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
11806,27339,5,25694,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0
11807,13439,8,25714,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
11808,14241,8,25714,0,0,0,0,0,3,3,0,0,0,0,8,2,2,0,0,0,0
11809,13864,9,25702,0,0,0,1,0,14,27,0,0,1,1,5,1,4,0,1,0,0
11810,15310,6,25711,0,0,0,0,0,15,28,0,1,3,1,5,1,0,1,1,0,0
11811,15068,6,25711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11812,13724,5,25705,0,1,0,0,0,7,23,0,0,0,1,7,2,1,0,1,0,0
11813,15660,5,25705,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0
11814,13724,5,25694,0,0,0,0,0,11,63,0,0,0,2,4,0,0,0,1,0,0
11815,14355,5,25694,0,0,0,0,0,1,4,0,0,0,0,2,0,1,0,1,0,0
11816,14094,8,25714,0,0,0,1,0,3,4,0,0,0,1,8,1,2,0,1,0,0
11817,15268,8,25714,0,0,0,0,0,4,9,0,0,0,1,9,2,0,0,2,0,0
11818,16061,9,25702,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0
11819,16063,9,25702,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0
11820,14206,6,25711,0,0,0,0,0,2,4,0,0,0,1,2,0,0,0,0,0,0
11821,15601,6,25711,0,0,0,0,0,1,5,0,0,0,0,3,0,1,0,0,0,0
11822,15916,5,25705,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
11823,15662,5,25694,0,0,0,2,0,2,18,0,0,0,1,1,0,0,0,0,0,0
11824,15357,5,25694,0,0,0,0,0,1,6,0,0,0,2,0,0,0,0,1,0,0
11825,13784,8,25714,0,0,0,1,0,3,0,0,0,0,0,12,2,0,0,4,0,0
11826,14089,8,25714,0,0,0,1,0,8,52,1,1,0,0,8,1,0,0,0,0,0
11827,15110,9,25702,0,0,0,2,0,2,13,1,1,0,0,0,0,0,0,0,1,0
11828,13558,6,25711,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
11829,27339,5,25705,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0
11830,15683,5,25705,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
11831,15290,20,25694,0,0,0,15,0,2,0,0,0,0,2,0,0,0,0,0,0,0
11832,14082,8,25714,0,0,0,0,0,1,5,0,0,0,0,5,0,0,0,1,0,0
11833,15821,9,25702,0,0,0,0,0,5,28,0,1,0,0,2,0,0,0,1,0,0
11834,78687,9,25702,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0
11835,15355,6,25711,0,0,0,1,0,1,1,0,0,0,0,2,3,0,0,0,0,0
11836,15952,6,25711,0,0,0,0,0,2,4,0,0,1,0,2,0,0,0,0,0,0
11837,15357,5,25705,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11838,15421,5,25705,0,0,2,6,0,3,25,0,1,1,1,5,0,0,0,0,0,0
11839,14570,20,25694,0,0,0,2,0,2,39,1,0,1,1,5,0,0,0,0,0,0
11840,13453,8,25692,0,0,0,0,0,8,56,0,3,2,4,2,0,1,0,0,0,0
11841,15044,8,25714,0,0,0,1,0,3,7,0,0,0,0,5,0,0,0,0,0,0
11842,15248,8,25714,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
11843,14095,9,25702,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11844,15593,6,25711,0,0,0,1,0,4,11,0,0,0,0,3,1,0,0,1,0,0
11845,13677,5,25705,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
11846,13236,20,25694,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0
11847,16044,20,25694,0,0,0,1,0,6,13,0,0,0,0,6,0,0,0,0,0,0
11848,14585,8,25692,0,1,0,1,0,5,38,0,1,2,1,2,0,1,0,0,0,0
11849,15236,8,25692,1,0,5,1,0,9,85,1,1,1,1,4,0,0,0,0,0,0
11850,14680,8,25714,1,0,5,1,0,3,25,1,1,0,0,0,0,0,0,0,0,0
11851,15303,8,25714,0,0,0,3,0,4,25,0,1,1,2,2,0,0,0,0,0,0
11852,16078,9,25702,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0
11853,14649,20,25694,0,0,0,0,0,1,20,1,0,0,1,4,0,0,0,1,0,0
11854,14237,8,25692,1,0,5,0,0,8,65,1,4,1,0,7,0,0,0,0,0,0
11855,15728,8,25692,0,0,0,1,0,5,50,0,1,2,1,1,0,0,0,0,0,0
11856,16047,20,25694,0,0,0,12,0,2,0,0,0,0,0,6,2,0,0,0,0,0
11857,14233,8,25692,1,1,22,7,0,5,37,1,1,1,0,11,0,0,0,0,0,0
11858,14401,20,25694,0,0,0,7,0,3,0,0,0,2,1,3,0,0,0,0,0,0
11859,14960,20,25694,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11860,15403,8,25692,0,1,0,4,0,2,7,0,0,0,2,8,0,0,0,0,0,0
11861,15038,8,25692,0,0,0,0,0,1,2,0,0,0,0,4,0,1,0,0,0,0
11862,15285,20,25694,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
11863,13887,20,25694,0,0,0,0,0,2,0,0,0,1,0,3,0,2,0,1,0,0
11864,14020,8,25692,0,0,0,0,0,4,5,0,0,0,0,3,0,0,0,1,0,0
11865,13842,20,25694,0,0,0,0,0,2,9,0,0,0,0,5,0,2,0,0,0,0
11866,14416,20,25694,0,0,0,0,0,6,1,0,0,0,1,4,1,5,0,2,1,0
11867,13439,8,25692,0,0,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0
11868,14241,8,25692,0,0,0,0,0,4,2,0,0,0,2,10,1,3,0,1,0,0
11869,15073,20,25694,0,0,0,0,0,1,5,0,0,0,0,3,0,3,0,0,0,0
11870,15280,20,25694,0,0,0,0,0,5,8,0,0,0,0,13,3,1,0,0,0,0
11871,14094,8,25692,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
11872,14894,20,25694,0,0,0,0,0,5,5,0,0,1,0,7,0,2,0,2,0,0
11873,15937,8,25692,0,0,0,0,0,4,8,0,0,2,2,9,1,0,0,1,0,0
11874,13784,8,25692,0,0,0,0,0,1,5,0,0,0,0,4,0,0,0,1,0,0
11875,13523,20,25694,0,0,0,0,0,5,3,0,0,0,1,0,0,0,0,0,0,0
11876,14089,8,25692,0,0,0,0,0,3,4,0,0,0,0,7,0,0,0,1,0,0
11877,16043,20,25694,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
11878,15331,20,25694,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11879,14082,8,25692,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0
11880,15700,20,25694,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11881,14108,8,25692,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
11882,14918,20,25694,0,0,0,1,0,2,12,0,0,0,0,0,0,0,0,0,0,0
11883,15248,8,25692,0,0,0,0,0,2,0,0,0,0,2,3,0,2,0,0,0,0
11884,15649,20,25694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11885,14579,8,25692,1,0,5,0,0,5,15,1,1,0,2,6,0,0,0,0,0,0
11886,16048,20,25694,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11887,14643,8,25692,1,0,5,1,0,1,12,0,2,0,0,3,0,0,0,0,0,0
11888,14235,8,25692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11889,14700,1,25692,0,1,0,6,0,6,13,1,1,1,1,4,1,0,0,0,0,0
11890,15535,1,25692,0,0,0,1,0,6,45,0,0,1,2,0,3,0,0,1,0,0
11891,13284,1,25692,0,0,0,1,0,8,20,0,0,1,0,5,3,0,0,2,1,0
11892,13649,1,25692,0,0,0,0,0,6,0,0,1,0,1,6,2,0,0,0,0,0
11893,15095,1,25692,1,0,5,0,0,3,5,0,0,0,0,1,0,0,0,0,0,0
11894,15414,1,25692,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0
11895,16016,1,25692,1,0,5,5,0,7,38,0,0,1,3,2,0,0,0,1,0,0
11896,14569,1,25692,0,0,0,0,0,4,3,0,0,0,1,2,0,0,0,0,0,0
11897,15066,1,25692,0,0,0,0,0,9,21,0,0,0,2,6,0,0,0,2,0,0
11898,14409,1,25692,0,0,0,0,0,4,5,0,0,0,0,2,0,0,0,0,0,0
11899,13682,1,25692,0,0,0,0,0,3,8,0,0,0,0,6,0,5,1,1,0,0
11900,13540,1,25692,0,0,0,0,0,2,0,0,0,0,0,4,0,2,1,1,0,0
11901,15478,1,25692,0,0,0,0,0,14,36,1,0,6,4,12,0,0,0,3,0,0
11902,15445,1,25692,0,0,0,0,0,5,4,0,0,0,0,5,1,0,0,1,0,0
11903,15810,1,25692,0,0,0,0,0,11,44,0,0,0,1,4,0,0,0,1,0,0
11904,15537,1,25692,0,0,0,0,0,3,7,0,0,0,1,0,0,0,0,1,0,0
11905,15823,1,25692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11906,13646,1,25692,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
11907,13265,1,25692,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
11908,15831,1,25692,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0
11909,15093,1,25692,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11910,13670,1,25692,0,0,2,4,0,5,8,0,0,0,0,2,2,0,0,0,0,0
11911,14700,1,25490,1,0,5,0,4,5,35,0,0,0,1,0,0,0,0,0,0,0
11912,15468,1,25490,0,0,0,0,0,5,19,0,0,0,0,3,0,0,0,0,0,0
11913,15730,1,25490,0,0,0,0,7,9,60,1,2,0,0,3,0,0,0,0,0,0
11914,15439,1,25490,0,0,0,2,7,10,44,1,0,1,2,3,0,0,0,0,0,0
11915,13578,1,25490,1,1,5,2,0,6,17,0,0,0,0,6,0,0,0,0,0,0
11916,12757,1,25490,0,1,17,15,20,2,12,0,1,1,0,3,0,0,0,0,0,0
11917,15404,1,25490,0,0,0,2,59,11,61,2,1,1,2,1,1,0,1,0,0,0
11918,14271,1,25490,0,0,0,0,2,4,8,0,0,0,1,0,0,0,0,3,0,0
11919,12138,1,25490,0,0,0,0,0,3,5,0,0,0,0,1,0,0,0,1,0,0
11920,12748,1,25490,0,0,0,0,3,2,6,0,0,0,0,0,0,0,0,0,0,0
11921,12407,1,25490,0,0,0,0,5,3,3,0,0,0,1,2,1,4,0,0,0,0
11922,13540,1,25490,1,0,5,0,3,7,21,0,0,0,1,1,0,9,0,1,0,0
11923,12398,1,25490,0,0,0,0,0,10,21,0,0,0,0,1,0,1,0,0,0,0
11924,13265,1,25490,0,0,0,0,4,9,92,2,0,4,1,6,0,0,2,0,0,0
11925,15448,1,25490,5,0,25,0,3,14,50,0,0,1,0,6,0,0,0,0,0,0
11926,15114,1,25490,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0
11927,14409,1,25490,0,0,0,0,1,7,8,0,0,1,0,3,0,0,1,0,0,0
11928,13648,1,25490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11929,11181,1,25490,1,1,5,0,5,5,9,0,1,1,0,2,0,1,0,0,0,0
11930,15414,1,25490,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
11931,15023,4,25490,0,0,0,7,2,7,62,0,0,0,1,4,0,1,0,2,0,0
11932,15446,4,25490,0,0,0,1,1,1,0,0,0,0,2,8,0,0,0,1,1,0
11933,13691,4,25490,0,1,0,0,2,3,21,0,1,1,1,11,0,0,0,0,0,0
11934,12033,4,25490,0,0,0,1,3,3,20,0,0,0,0,17,1,0,0,0,0,0
11935,12274,4,25490,1,0,5,0,4,5,19,0,0,0,1,3,0,0,0,0,0,0
11936,14125,4,25490,0,0,0,1,12,4,18,0,0,0,2,7,1,0,0,1,0,0
11937,13589,4,25490,0,0,0,2,26,3,6,0,0,0,2,5,0,0,0,2,0,0
11938,13530,4,25490,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
11939,14294,4,25490,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0
11940,15027,4,25490,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0
11941,15732,4,25490,0,0,0,0,0,1,0,0,0,0,0,13,0,2,0,0,0,0
11942,13957,4,25490,0,0,0,0,0,2,0,0,0,0,0,7,0,3,0,1,0,0
11943,15288,4,25490,0,0,0,0,0,1,0,0,0,1,0,9,2,1,0,1,1,0
11944,12344,4,25490,0,0,0,1,0,1,10,1,1,0,0,9,2,0,0,1,0,0
11945,13951,4,25490,0,0,0,0,0,1,6,0,0,0,0,6,0,1,0,0,0,0
11946,14863,4,25490,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11947,13814,4,25490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11948,15294,4,25490,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0
11949,13332,4,25490,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0
11950,15731,4,25490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11951,12906,2,23697,0,0,0,5,3,8,52,0,0,2,5,3,4,0,0,0,0,0
11952,12742,2,23697,1,0,5,1,0,11,57,2,3,0,3,6,3,0,0,0,0,0
11953,9848,2,23697,0,0,0,2,2,2,0,0,0,0,1,5,1,0,0,0,0,0
11954,13071,2,23697,0,0,0,0,3,9,18,0,0,1,1,10,2,0,0,0,0,0
11955,11239,2,23697,0,0,5,2,1,6,37,1,1,0,4,4,0,0,0,0,0,0
11956,11378,2,23697,0,0,3,14,17,5,32,0,2,2,5,6,8,0,0,0,0,0
11957,10510,2,23697,0,0,0,9,48,12,59,0,1,5,2,10,2,0,0,2,0,0
11958,12441,9,23686,0,0,0,3,4,6,48,0,1,0,0,1,1,0,0,0,0,0
11959,11668,3,23673,0,0,0,7,3,8,59,0,1,1,3,0,0,0,0,1,0,0
11960,12428,2,23697,0,0,0,0,3,6,9,0,1,0,1,6,1,0,0,1,0,0
11961,11363,9,23686,0,0,0,2,4,3,70,1,4,1,2,0,0,0,0,1,0,0
11962,12536,3,23673,0,0,0,0,1,5,22,0,1,0,1,5,1,0,0,0,0,0
11963,12571,2,23697,0,0,0,0,3,4,11,0,0,1,0,5,0,0,0,0,0,0
11964,12097,9,23686,0,0,10,1,3,1,3,0,0,0,2,3,3,0,0,0,0,0
11965,13120,3,23673,0,0,0,1,1,3,24,0,0,1,1,3,3,0,0,0,0,0
11966,10369,2,23697,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0
11967,11692,9,23686,0,0,0,1,5,5,48,2,4,2,1,4,1,0,0,0,0,0
11968,12745,9,23686,1,0,5,0,3,6,77,2,3,0,3,0,0,0,0,1,0,0
11969,12545,3,23673,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0
11970,13169,3,23673,0,0,0,0,2,4,24,0,0,2,0,3,1,0,0,0,0,0
11971,12160,2,23697,0,0,0,0,2,8,17,0,0,0,2,5,1,7,2,0,0,0
11972,10936,2,23697,0,0,0,0,1,2,0,0,0,0,1,0,0,4,0,0,0,0
11973,12121,9,23686,0,0,3,14,8,5,9,0,1,0,0,11,1,0,0,1,0,0
11974,13238,9,23686,0,1,0,2,32,7,23,1,0,0,0,2,1,0,0,0,0,0
11975,12165,3,23673,0,0,3,7,6,3,4,0,0,1,3,7,1,1,0,0,0,0
11976,13171,3,23673,0,0,0,6,32,5,4,0,0,0,3,5,2,0,0,0,0,0
11977,13070,2,23697,0,1,0,0,5,7,51,1,0,2,0,6,4,0,0,2,0,0
11978,12756,2,23697,1,0,5,0,2,9,32,1,2,0,0,12,0,0,0,3,0,0
11979,11850,9,23686,0,0,0,0,1,5,14,0,0,0,0,4,0,0,0,0,0,0
11980,12180,9,23686,0,0,0,0,2,5,15,0,1,2,1,1,0,0,0,2,1,0
11981,12540,3,23673,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0
11982,12013,3,23673,0,0,0,0,0,3,4,0,0,0,0,11,0,0,0,1,0,0
11983,12908,2,23697,0,0,0,1,5,8,12,0,0,0,0,11,1,0,0,1,0,0
11984,12573,2,23697,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0
11985,12105,9,23686,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0
11986,10852,9,23686,0,0,0,0,1,5,4,0,0,0,0,5,0,4,0,0,0,0
11987,10908,3,23673,0,0,0,0,0,4,0,0,1,0,1,9,0,2,1,0,0,0
11988,12547,3,23673,0,0,0,1,3,0,0,0,0,0,1,12,5,4,1,2,0,0
11989,12906,2,23691,0,0,0,2,6,11,87,1,2,4,0,4,2,0,0,1,0,0
11990,12572,2,23697,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0
11991,13220,2,23697,0,0,0,0,0,2,10,0,0,0,0,3,0,0,0,0,0,0
11992,12111,9,23686,0,0,0,0,1,2,6,0,0,0,0,3,1,1,0,2,0,0
11993,12898,3,23673,0,0,0,0,0,3,3,0,1,0,1,11,3,0,0,5,0,0
11994,12752,3,23673,0,0,0,0,0,2,2,0,0,0,0,14,4,0,0,0,0,0
11995,12742,2,23691,1,0,5,0,1,5,66,2,3,1,0,3,3,0,0,2,0,0
11996,13071,2,23691,0,0,0,1,3,5,19,1,1,1,2,2,3,0,0,0,0,0
11997,11677,8,23697,1,0,5,4,8,6,43,1,2,1,3,3,0,0,0,0,0,0
11998,12100,9,23686,0,0,0,0,1,2,2,0,0,0,1,4,2,0,0,1,0,0
11999,12438,9,23686,0,0,0,1,3,8,36,1,1,0,1,3,0,4,0,3,0,0
12000,12907,3,23673,0,0,0,2,0,7,6,0,2,0,2,8,0,1,0,0,0,0
12001,13219,2,23691,0,0,0,0,3,4,21,1,2,0,1,9,1,0,0,0,0,0
12002,11239,2,23691,0,0,17,0,4,6,59,3,1,2,2,3,3,0,0,0,0,0
12003,12553,8,23697,2,0,10,1,5,9,77,2,2,2,0,5,0,0,0,0,0,0
12004,12099,9,23686,1,0,5,0,4,7,24,0,1,0,2,2,0,0,0,0,0,0
