id,match_id,team_id,scored,conceded,tries,cons,pens,drops
187,298564,35,67,0,,,,
188,298564,64,0,67,,,,
189,298563,42,28,58,,,,
190,298563,82,58,28,,,,
191,298552,35,45,36,,,,
192,298552,42,36,45,,,,
193,299123,136,38,12,,,,
194,299123,51,12,38,,,,
195,299071,5,10,25,1,1,1,0
196,299071,1,25,10,1,1,2,0
197,298565,39,47,29,,,,
198,298565,24,29,47,,,,
199,297140,6,16,20,1,1,2,0
200,297140,3,20,16,1,0,2,0
201,298660,11,30,29,3,3,3,0
202,299151,70,34,33,,,,
203,298660,2,29,30,4,2,1,0
204,299151,173646,33,34,,,,
205,298548,82,55,6,,,,
206,298548,39,6,55,,,,
207,299066,5,23,12,2,1,2,0
208,299066,1,12,23,2,1,0,0
209,299410,29,26,20,2,2,2,0
210,299410,10,20,26,2,1,2,0
211,296319,8,52,11,8,3,2,0
212,296319,9,11,52,1,0,2,0
213,299064,14,24,22,4,2,0,0
214,299064,15,22,24,3,2,1,0
215,299108,26,39,5,,,,
216,299108,49,5,39,,,,
217,299409,29,23,19,3,1,2,0
218,299409,204,19,23,3,1,0,0
219,299104,38,18,12,,,,
220,299104,105,12,18,,,,
221,299252,90,81,10,,,,
222,299252,108,10,81,,,,
223,299100,49,67,12,,,,
224,299100,36,12,67,,,,
225,299146,73,29,37,,,,
226,299146,60,37,29,,,,
227,297111,31,50,27,,,,
228,297111,87,27,50,,,,
229,297093,85,56,0,,,,
230,297093,134,0,56,,,,
231,297088,81,25,16,3,2,2,0
232,297088,12,16,25,1,1,2,0
233,295095,1,15,24,3,0,0,0
234,295095,3,24,15,3,3,1,0
235,297086,72,17,24,,,,
236,297086,108,24,17,,,,
237,297087,88,20,17,,,,
238,297087,80,17,20,,,,
239,297084,56,30,24,,,,
240,297084,13,24,30,,,,
241,297085,22,27,10,,,,
242,297085,91,10,27,,,,
243,295096,4,14,13,1,0,2,0
244,295096,9,13,14,1,1,1,1
245,295094,20,27,29,3,2,2,0
246,298889,294101,17,5,,,,
247,298889,74,5,17,,,,
248,295094,2,29,27,4,2,1,0
249,295092,9,22,16,1,0,3,0
250,295092,1,16,22,1,1,3,0
251,295091,3,28,8,4,2,0,0
252,295091,2,8,28,1,0,1,0
253,297082,91,17,10,,,,
254,297082,56,10,17,,,,
255,295093,4,38,14,5,4,1,0
256,297083,18,84,10,12,4,2,0
257,295093,20,14,38,2,2,0,0
258,297083,7,10,84,1,1,1,0
259,297094,139,17,5,,,,
260,297094,86,5,17,,,,
261,297078,22,71,30,,,,
262,297078,13,30,71,,,,
263,298612,28,15,67,2,1,1,0
264,298612,29,67,15,8,5,2,0
265,295088,9,34,17,3,2,2,0
266,295088,20,17,34,2,1,1,0
267,297068,12,85,6,13,4,0,0
268,297069,57,13,20,1,1,2,0
269,297068,7,6,85,0,0,2,0
270,297069,18,20,13,3,1,1,0
271,295083,9,13,15,1,1,2,0
272,295083,3,15,13,0,0,2,1
273,298539,24,17,16,,,,
274,298539,64,16,17,,,,
275,297066,82,34,39,5,3,1,0
276,297066,29,39,34,5,2,2,0
277,297065,134,6,38,,,,
278,297065,139,38,6,,,,
279,296958,12,20,25,2,2,2,0
280,296958,16,25,20,3,2,2,0
281,294422,2,17,22,2,2,1,0
282,294422,8,22,17,3,2,1,0
283,294421,1,30,6,4,2,2,0
284,294421,6,6,30,0,0,2,0
285,297054,48,21,27,,,,
286,297054,38,27,21,,,,
287,297053,26,13,6,1,1,2,0
288,297053,28,6,13,0,0,2,0
289,297049,61,64,0,,,,
290,297049,117532,0,64,,,,
