id,match_id,team_id,pens_attempt,pens_conceded,drops_attempt,kicks,passes,runs,meters,breaks,def_beaten,offloads,rucks_init,rucks_won,mall_init,mall_won,turnovers,tackles_made,tackles_missed,scrums_won_on_feed,scrums_lost_on_feed,lineouts_won_on_throw,lineouts_lost_on_throw,yellow_cards,red_cards
1158,93498,3,1,8,0,30,169,136,351,1,8,10,130,126,4,4,14,100,11,3,0,16,1,0,0
1159,93499,9,4,12,2,23,97,94,266,1,9,10,86,82,4,3,11,96,13,12,1,8,2,0,0
1160,93498,4,3,8,0,34,118,95,293,2,11,0,92,85,3,3,9,150,8,5,1,7,2,0,0
1161,93497,3,6,14,1,25,127,97,436,4,7,10,76,74,1,1,12,53,0,5,1,10,0,0,0
1162,93497,20,3,13,0,20,60,51,164,0,0,1,44,41,7,6,10,103,7,7,3,12,2,0,0
1163,93493,1,6,13,3,30,71,66,298,1,4,6,58,54,8,7,13,83,5,4,4,13,2,0,0
1164,93490,15,0,10,0,31,198,140,447,2,15,15,120,111,3,3,20,70,6,7,0,12,3,0,1
1165,93493,2,3,14,2,34,106,73,306,0,5,7,64,56,1,1,16,55,4,8,1,10,1,0,0
1166,93492,9,3,12,0,25,106,85,366,1,17,11,67,63,1,1,14,123,15,10,1,5,2,1,0
1167,93490,5,5,11,1,31,90,64,196,1,6,9,62,56,9,9,15,149,15,8,0,11,3,1,0
1168,93492,16,8,10,1,28,112,121,490,4,15,6,94,92,1,1,15,68,17,4,0,6,1,1,0
1169,93494,10,5,8,0,32,92,75,375,3,17,6,64,56,4,4,15,85,9,13,0,8,4,0,0
1170,93494,81,1,16,0,27,99,91,165,0,9,10,71,65,5,5,13,75,17,9,2,7,3,0,0
1171,93488,20,1,8,0,29,82,78,267,4,10,13,61,57,5,5,13,115,13,14,2,10,5,0,0
1172,93488,11,1,21,0,23,160,106,222,1,13,9,99,92,2,2,11,70,10,3,0,10,1,1,0
1173,93496,14,1,10,0,26,125,114,368,3,9,12,91,84,3,3,19,81,17,5,2,13,4,0,0
1174,93489,81,8,10,1,23,101,91,271,1,12,11,80,76,6,5,14,56,4,8,2,9,4,0,0
1175,93496,4,1,17,0,29,148,100,674,5,18,10,79,71,2,2,12,123,9,11,1,8,1,0,0
1176,93489,12,5,13,0,26,68,52,134,0,4,8,38,34,7,6,21,86,12,8,0,10,3,0,0
1177,93485,10,6,9,2,37,71,83,199,1,6,4,87,83,0,0,11,111,12,5,1,7,5,0,0
1178,93485,2,3,12,4,34,157,111,359,1,12,7,113,102,0,0,12,85,6,4,2,10,2,0,0
1179,93487,25,3,12,0,24,131,116,312,3,13,0,86,80,3,3,12,94,13,14,0,8,3,0,0
1180,93487,23,3,9,1,22,153,105,365,8,13,0,80,74,4,2,17,126,14,7,0,10,2,0,0
1181,93483,14,1,10,0,20,116,93,256,3,18,8,80,76,0,0,20,66,12,7,5,13,1,0,0
1182,93483,15,6,7,2,29,108,78,436,2,12,8,54,50,3,3,19,111,18,9,0,7,1,0,0
1183,93491,6,0,9,0,18,134,97,570,9,18,12,67,66,3,3,13,87,6,3,2,7,4,0,0
1184,93491,57,0,4,1,26,79,91,319,3,6,5,74,70,2,2,7,75,18,9,0,7,4,0,0
1185,93486,82,2,11,0,25,53,31,147,1,1,1,34,32,1,1,12,128,38,4,3,11,2,1,0
1186,93486,4,1,10,0,21,210,153,941,10,38,16,114,109,2,2,14,32,1,10,1,10,2,0,0
1187,93474,15,3,14,0,22,148,151,396,2,14,8,129,121,1,1,14,116,18,5,0,12,3,0,0
1188,93474,4,5,14,1,24,125,104,341,2,18,17,87,78,1,1,13,181,14,5,2,9,2,0,0
1189,93478,23,1,12,0,24,150,108,364,6,15,5,83,73,6,6,20,71,14,7,1,16,2,1,0
1190,93484,3,1,11,0,23,181,132,676,6,27,17,108,105,4,3,13,42,5,5,1,12,2,0,0
1191,93478,16,4,16,0,19,56,61,255,2,14,7,58,53,2,2,15,113,15,9,2,3,3,2,0
1192,93480,6,0,4,0,20,121,86,643,6,15,10,52,51,4,3,15,87,6,11,0,11,1,0,0
1193,93484,57,0,13,0,28,56,44,259,3,5,1,37,33,3,3,7,120,27,6,2,13,6,1,0
1194,93480,11,0,13,0,20,83,82,119,1,6,4,77,72,6,6,10,70,15,9,0,8,2,1,0
1195,93475,1,1,14,0,19,141,103,588,8,23,20,72,70,4,4,19,127,7,8,1,10,1,1,0
1196,93475,81,6,10,0,18,111,107,321,2,7,8,85,82,5,3,17,92,23,10,0,8,2,0,0
1197,93477,20,1,7,0,22,127,103,418,4,14,19,72,66,5,4,16,99,14,13,1,9,1,1,0
1198,93481,1,1,13,0,22,156,95,679,9,23,17,67,63,4,2,14,84,2,7,1,12,1,0,0
1199,93477,57,0,12,0,17,120,96,390,2,14,7,78,75,1,1,18,96,14,5,1,7,4,0,0
1200,93481,12,5,11,0,15,58,76,180,1,2,6,67,64,4,0,16,76,23,8,0,5,6,0,0
1201,93473,6,4,12,0,14,78,68,247,1,6,4,59,51,2,2,16,82,6,8,1,9,2,0,0
1202,93473,3,7,8,1,27,84,70,222,4,6,4,68,66,1,1,9,67,6,12,0,5,2,0,0
1203,93476,25,5,10,3,30,78,70,254,1,6,7,69,66,3,3,6,94,18,6,1,6,2,0,0
1204,93476,9,6,9,1,30,134,106,353,3,18,8,90,87,5,5,16,77,6,8,0,13,1,0,0
1205,93469,57,5,11,0,25,76,71,247,2,12,2,64,62,0,0,11,138,15,7,2,6,7,0,0
1206,93468,81,2,14,2,29,45,66,172,0,4,2,58,55,6,4,8,94,12,7,0,13,2,0,0
1207,93469,11,5,11,1,30,152,121,369,2,15,9,101,95,4,4,15,75,12,5,1,12,0,0,0
1208,93468,2,7,6,1,29,133,87,331,2,12,11,76,74,4,4,17,70,4,4,0,15,1,0,0
1209,93479,82,0,15,0,30,85,61,203,2,11,5,50,44,1,1,12,92,30,11,3,8,4,0,0
1210,93479,5,1,6,0,27,134,116,819,7,30,18,83,78,6,6,18,61,11,6,0,15,3,0,0
1211,93472,14,1,11,0,20,127,120,411,0,16,15,101,95,0,0,16,118,25,5,4,8,1,0,0
1212,93472,5,5,7,1,25,194,137,665,4,25,17,102,94,7,5,17,125,16,9,0,7,1,0,0
