id,player_id,team_id,match_id,time,action_type,extra_info
7661,13756,9,181972,41,pens,
7662,91589,3,181973,75,tries,
7663,27669,2,181978,74,cons,
7664,14792,23,181970,52,pens,
7665,15818,9,181979,34,cons,
7666,87812,9,181972,37,pens,
7667,16004,3,181973,18,cons,
7668,27669,2,181978,2,pens,
7669,14792,23,181970,59,pens,
7670,15818,9,181979,66,cons,
7671,16004,3,181973,25,cons,
7672,27669,2,181978,11,pens,
7673,14945,11,181975,33,tries,
7674,117788,8,181976,56,tries,
7675,83828,9,181979,70,cons,
7676,16004,3,181973,36,cons,
7677,27669,2,181978,17,pens,
7678,262791,11,181975,73,tries,
7679,121169,8,181976,66,tries,
7680,83828,9,181979,78,cons,
7681,96690,3,181973,66,cons,
7682,27669,2,181978,19,pens,
7683,262799,11,181975,30,pens,
7684,14233,8,181976,57,cons,
7685,15818,9,181979,7,pens,
7686,96690,3,181973,73,cons,
7687,262799,11,181975,52,pens,
7688,14233,8,181976,66,cons,
7689,96690,3,181973,76,cons,
7690,14233,8,181976,4,pens,
7691,117544,5,181970,17,tries,
7692,123417,20,181972,51,tries,
7693,16004,3,181973,13,pens,
7694,14233,8,181976,10,pens,
7695,15726,5,181970,32,tries,
7696,158708,20,181972,52,cons,
7697,14233,8,181976,19,pens,
7698,177404,5,181970,43,tries,
7699,158708,20,181972,33,pens,
7700,14233,8,181976,40,pens,
7701,16083,5,181970,61,tries,
7702,15049,3,295109,2,tries,
7703,112898,5,181970,18,cons,
7704,16004,3,295109,29,tries,
7705,112898,5,181970,44,cons,
7706,158698,3,295109,35,tries,
7707,165132,5,181970,62,cons,
7708,14573,12,181979,73,tries,
7709,15966,3,295109,55,tries,
7710,112898,5,181970,56,pens,
7711,15222,12,181979,19,pens,
7712,16004,3,295109,3,cons,
7713,15918,14,240809,26,tries,
7714,165132,5,181970,72,pens,
7715,15222,12,181979,39,pens,
7716,16004,3,295109,30,cons,
7717,165294,14,240809,29,tries,
7718,16004,3,295109,57,cons,
7719,91541,16,240805,13,tries,
7720,165294,14,240809,49,tries,
7721,102699,16,240805,49,tries,
7722,98275,20,295110,54,tries,
7723,117546,14,240809,27,cons,
7724,15457,16,240805,52,tries,
7725,158708,20,295110,5,pens,
7726,117546,14,240809,10,pens,
7727,294750,5,298890,58,tries,
7728,98265,16,240805,55,tries,
7729,158708,20,295110,11,pens,
7730,117444,5,298890,44,cons,
7731,15228,16,240805,78,tries,
7732,158708,20,295110,42,pens,
7733,117444,5,298890,59,cons,
7734,140891,25,240803,70,tries,
7735,106985,16,240805,50,cons,
7736,117444,5,298890,18,pens,
7737,98249,9,295109,76,tries,
7738,14313,25,240803,71,cons,
7739,106985,16,240805,54,cons,
7740,184889,5,298890,73,pens,
7741,228567,9,295109,80,tries,
7742,228947,25,240803,34,pens,
