id,date,match_type,match_id,team_id,scored,conceded,tries,cons,pens,drops,name,pos,pts
1,2008-02-23,1,25594,1,24,13,2.0,1.0,2.0,1.0,England,5,83.82125
81,2008-02-09,1,25589,81,22,7,1.0,1.0,2.0,1.0,Georgia,16,66.53291999999999
12,2008-02-09,1,25589,12,7,22,1.0,1.0,0.0,0.0,Romania,15,66.6855
4,2008-02-09,1,25587,4,30,15,3.0,3.0,3.0,0.0,Wales,8,76.172516
2,2008-02-09,1,25587,2,15,30,0.0,0.0,2.0,0.0,Scotland,10,75.29858
9,2008-03-09,1,25602,9,25,13,3.0,2.0,2.0,0.0,France,6,81.03429399999999
20,2008-03-09,1,25602,20,13,25,1.0,1.0,2.0,0.0,Italy,11,72.40533
9,2008-02-09,1,25588,9,26,21,3.0,2.0,0.0,0.0,France,6,81.76215
3,2008-02-09,1,25588,3,21,26,2.0,1.0,2.0,0.0,Ireland,7,78.83134
4,2008-02-23,1,25592,4,47,8,5.0,4.0,2.0,0.0,Wales,8,76.78511999999999
20,2008-02-23,1,25592,20,8,47,1.0,0.0,1.0,0.0,Italy,11,72.867714
18,2008-02-23,1,25596,18,11,17,1.0,0.0,2.0,0.0,Spain,21,62.304019999999994
12,2008-02-23,1,25596,12,17,11,3.0,1.0,0.0,0.0,Romania,16,65.97024499999999
57,2008-03-01,1,25597,57,41,26,5.0,2.0,2.0,0.0,Russia,17,65.87907
27,2008-03-01,1,25597,27,26,41,2.0,2.0,2.0,0.0,Portugal,22,59.46402
12,2008-03-08,1,25600,12,21,15,3.0,3.0,0.0,0.0,Romania,16,66.90361999999999
27,2008-03-08,1,25600,27,15,21,0.0,0.0,2.0,0.0,Portugal,22,59.405519999999996
57,2008-03-08,1,25601,57,42,16,4.0,2.0,4.0,0.0,Russia,17,65.93755999999999
18,2008-03-08,1,25601,18,16,42,1.0,1.0,2.0,0.0,Spain,21,61.37064399999999
3,2008-03-08,1,25598,3,12,16,0.0,0.0,2.0,0.0,Ireland,7,78.91365
4,2008-03-08,1,25598,4,16,12,1.0,1.0,3.0,0.0,Wales,8,77.24750999999999
2,2008-03-08,1,25599,2,15,9,0.0,0.0,3.0,0.0,Scotland,10,74.19674
1,2008-03-08,1,25599,1,9,15,0.0,0.0,2.0,0.0,England,4,84.95604
20,2008-03-15,1,25603,20,23,20,2.0,2.0,2.0,1.0,Italy,11,72.40533
2,2008-03-15,1,25603,2,20,23,2.0,2.0,2.0,0.0,Scotland,9,75.972664
57,2008-03-15,1,25606,57,12,8,0.0,0.0,2.0,0.0,Russia,17,66.30252
12,2008-03-15,1,25606,12,8,12,1.0,0.0,1.0,0.0,Romania,16,66.90361999999999
1,2008-03-15,1,25604,1,33,10,3.0,2.0,2.0,0.0,England,5,83.18011
3,2008-03-15,1,25604,3,10,33,1.0,1.0,1.0,0.0,Ireland,8,77.44704
4,2008-03-15,1,25605,4,29,12,2.0,2.0,4.0,0.0,Wales,7,78.71413000000001
9,2008-03-15,1,25605,9,12,29,0.0,0.0,3.0,0.0,France,6,81.03429399999999
12,2008-03-22,1,25607,12,76,7,10.0,3.0,0.0,1.0,Romania,17,66.14350999999999
91,2008-03-22,1,25607,91,7,76,1.0,1.0,0.0,0.0,Czechia,35,51.919003000000004
91,2008-03-29,1,25608,91,3,22,0.0,0.0,1.0,0.0,Czechia,35,51.919003000000004
81,2008-03-29,1,25608,81,22,3,3.0,2.0,1.0,0.0,Georgia,14,67.82771
129,2008-03-29,1,84980,129,7,47,,,,,St Vincent and Grenadines,74,39.3
78,2008-03-29,1,84980,78,47,7,,,,,Mexico,-1,-1.0
26,2008-04-05,1,84981,26,25,12,,,,,Hong Kong,28,54.581984999999996
64,2008-04-05,1,84981,64,12,25,,,,,Tunisia,36,51.57925
119,2008-04-12,1,25610,119,24,13,,,,,Armenia,-1,-1.0
30,2008-04-12,1,25610,30,13,24,,,,,Denmark,61,42.674255
57,2008-04-12,1,25612,57,12,18,0.0,0.0,2.0,0.0,Russia,16,67.06263
81,2008-04-12,1,25612,81,18,12,2.0,1.0,2.0,0.0,Georgia,14,67.82771
56,2008-04-19,1,25613,56,16,28,,,,,Switzerland,49,46.640797
31,2008-04-19,1,25613,31,28,16,,,,,Sweden,40,49.948485999999995
93,2008-05-09,1,25645,93,20,43,,,,,Arabian Gulf,46,47.64947
49,2008-05-09,1,25645,49,43,20,,,,,Korea,23,57.07895
119,2008-05-10,1,25646,119,25,0,,,,,Armenia,-1,-1.0
47,2008-05-10,1,25646,47,0,25,,,,,Serbia and Montenegro,-1,-1.0
108,2008-05-10,1,25649,108,16,29,,,,,Malta,53,45.71967
13,2008-05-10,1,25649,13,29,16,,,,,Poland,36,51.787952000000004
89,2008-05-17,1,25654,89,12,13,,,,,Hungary,60,42.61898
90,2008-05-17,1,25654,90,13,12,,,,,Lithuania,51,46.44173
95,2008-05-10,1,25652,95,6,82,0.0,0.0,2.0,0.0,Kazakhstan,33,52.13216
23,2008-05-10,1,25652,23,82,6,12.0,5.0,0.0,0.0,Japan,16,66.17274
87,2008-05-10,1,25650,87,20,8,,,,,Latvia,50,46.451073
83,2008-05-10,1,25650,83,8,20,,,,,Croatia,41,48.729504
23,2008-05-18,1,25659,23,75,29,11.0,5.0,0.0,0.0,Japan,16,66.17274
26,2008-05-18,1,25659,26,29,75,2.0,1.0,4.0,0.0,Hong Kong,28,54.722393000000004
74,2008-05-24,1,25663,74,11,10,,,,,Finland,95,31.468674
61,2008-05-24,1,25663,61,10,11,,,,,Luxembourg,89,36.221959999999996
39,2008-05-24,1,84988,39,20,3,,,,,Uganda,34,52.110588
35,2008-05-24,1,84988,35,3,20,,,,,Kenya,40,50.28281
47,2008-05-24,1,25661,47,19,8,,,,,Serbia and Montenegro,-1,-1.0
119,2008-05-24,1,25661,119,8,19,,,,,Armenia,-1,-1.0
72,2008-05-31,1,25666,72,22,12,,,,,Israel,93,32.972716999999996
74,2008-05-31,1,25666,74,12,22,,,,,Finland,94,32.644
29,2008-05-31,1,25667,29,8,43,1.0,0.0,1.0,0.0,Uruguay,20,63.176790000000004
10,2008-05-31,1,25667,10,43,8,7.0,2.0,0.0,0.0,Argentina,3,87.44991
14,2008-06-07,1,25673,14,34,17,5.0,2.0,1.0,0.0,Fiji,9,75.88019
15,2008-06-07,1,25673,15,17,34,3.0,1.0,0.0,0.0,Samoa,12,71.606514
41,2008-05-24,1,25662,41,16,0,,,,,Bulgaria,92,33.381138
85,2008-05-24,1,25662,85,0,16,,,,,Austria,85,36.65367
5,2008-06-07,1,25671,5,43,17,4.0,2.0,2.0,0.0,South Africa,1,90.81734
4,2008-06-07,1,25671,4,17,43,2.0,2.0,1.0,0.0,Wales,6,80.11215
8,2008-06-07,1,25668,8,21,11,2.0,1.0,2.0,0.0,New Zealand,2,89.61021
3,2008-06-07,1,25668,3,11,21,1.0,0.0,2.0,0.0,Ireland,8,77.256996
68,2008-06-07,1,25669,68,9,40,,,,,Norway,80,37.588802
90,2008-06-07,1,25669,90,40,9,,,,,Lithuania,48,47.359455
10,2008-06-07,1,25674,10,21,15,2.0,1.0,2.0,0.0,Argentina,3,87.44991
2,2008-06-07,1,25674,2,15,21,0.0,0.0,2.0,0.0,Scotland,10,74.91593
23,2008-06-08,1,25676,23,21,42,2.0,1.0,2.0,1.0,Japan,16,66.17274
38,2008-06-11,1,84993,38,30,22,,,,,Thailand,65,41.443816999999996
105,2008-06-11,1,84993,105,22,30,,,,,India,81,37.54469
218,2008-06-08,1,25676,218,42,21,6.0,2.0,0.0,0.0,Australia A,-1,-1.0
62,2008-05-31,1,84989,62,7,31,,,,,Zambia,71,40.63655
42,2008-05-31,1,84989,42,31,7,,,,,Zimbabwe,56,44.449932000000004
14,2008-06-14,1,129699,14,7,11,1.0,1.0,0.0,0.0,Fiji,9,76.28913
142,2008-06-14,1,129699,142,11,7,1.0,0.0,2.0,0.0,New Zealand Maori,-1,-1.0
6,2008-06-14,1,25682,6,18,12,2.0,1.0,2.0,0.0,Australia,4,84.20076
3,2008-06-14,1,25682,3,12,18,2.0,1.0,0.0,0.0,Ireland,8,77.256996
38,2008-06-14,1,84995,38,30,7,,,,,Thailand,65,41.443816999999996
36,2008-06-14,1,84995,36,7,30,,,,,Malaysia,79,38.562374
110,2008-06-14,1,85000,110,12,16,,,,,Cameroon,77,38.972496
64,2008-06-14,1,85000,64,16,12,,,,,Tunisia,32,52.79985
100,2008-06-14,1,84998,100,10,27,,,,,Botswana,74,39.532925
39,2008-06-14,1,84998,39,27,10,,,,,Uganda,31,52.886419999999994
67,2008-06-14,1,84997,67,10,13,,,,,Senegal,66,41.439014
82,2008-06-14,1,84997,82,13,10,,,,,Namibia,26,56.82168000000001
12,2008-06-11,1,25680,12,10,6,1.0,1.0,1.0,0.0,Romania,17,66.14350999999999
29,2008-06-11,1,25680,29,6,10,0.0,0.0,2.0,0.0,Uruguay,20,63.176790000000004
12,2008-06-15,1,25688,12,13,12,1.0,1.0,2.0,0.0,Romania,17,66.14350999999999
23,2008-06-15,1,25686,23,35,13,4.0,0.0,2.0,0.0,Japan,16,66.17274
57,2008-06-15,1,25688,57,12,13,0.0,0.0,2.0,0.0,Russia,18,65.83914
16,2008-06-15,1,25686,16,13,35,1.0,1.0,2.0,0.0,Tonga,12,71.50565
53,2008-06-21,1,85004,53,71,0,,,,,Paraguay,29,53.823159999999994
40,2008-06-21,1,85004,40,0,71,,,,,Peru,59,43.335808
53,2008-06-19,1,85002,53,44,3,,,,,Paraguay,29,53.823159999999994
104,2008-06-19,1,85002,104,3,44,,,,,Venezuela,69,40.70783
116,2008-06-23,1,85005,116,17,8,,,,,Ghana,-1,-1.0
116,2008-06-29,1,85018,116,27,6,,,,,Ghana,-1,-1.0
111,2008-06-29,1,85018,111,6,27,,,,,Togo,-1,-1.0
135,2008-06-23,1,85005,135,8,17,,,,,Chad,-1,-1.0
53,2008-06-26,1,85011,53,60,7,,,,,Paraguay,29,53.823159999999994
97,2008-06-26,1,85011,97,7,60,,,,,Colombia,69,40.77337
16,2008-07-05,1,25703,16,27,16,4.0,2.0,1.0,0.0,Tonga,15,68.5099
14,2008-07-05,1,25703,14,16,27,1.0,1.0,2.0,0.0,Fiji,10,76.76249
74,2008-10-02,1,25719,74,19,27,,,,,Finland,95,31.976875
61,2008-10-02,1,25719,61,27,19,,,,,Luxembourg,90,35.04663
132,2008-07-03,1,85024,132,3,10,,,,,Mauritius,-1,-1.0
96,2008-07-03,1,85024,96,10,3,,,,,Reunion,-1,-1.0
6,2008-06-28,1,25697,6,34,13,4.0,4.0,2.0,0.0,Australia,4,84.20638000000001
9,2008-06-28,1,25697,9,13,34,1.0,1.0,2.0,0.0,France,7,79.63627
13,2008-10-04,1,25808,13,12,13,,,,,Poland,31,52.481125
84,2008-10-04,1,25808,84,13,12,,,,,Ukraine,36,51.766690000000004
84915,2008-10-05,1,85047,84915,16,30,,,,,Kyrgyzstan,-1,-1.0
84914,2008-10-05,1,85047,84914,30,16,,,,,Iran,-1,-1.0
74,2008-10-11,1,25721,74,10,12,,,,,Finland,95,30.98385
133,2008-10-11,1,25721,133,12,10,,,,,Greece,-1,-1.0
68,2008-10-11,1,25720,68,11,3,,,,,Norway,88,36.067935999999996
85,2008-10-11,1,25720,85,3,11,,,,,Austria,85,36.471638
98,2008-10-11,1,25722,98,5,50,,,,,Monaco,78,38.811572999999996
88,2008-10-11,1,25722,88,50,5,,,,,Bosnia and Herzegovina,-1,-1.0
119,2008-10-18,1,25717,119,35,15,,,,,Armenia,-1,-1.0
56,2008-10-18,1,25717,56,15,35,,,,,Switzerland,52,45.671566
91,2008-10-18,1,85051,91,47,0,,,,,Czechia,35,51.919003000000004
83,2008-10-18,1,85051,83,0,47,,,,,Croatia,44,47.80166
31,2008-10-25,1,25724,31,21,5,,,,,Sweden,39,50.917716999999996
