id,date,match_type,match_id,team_id,scored,conceded,tries,cons,pens,drops,name,pos,pts,opp_name,opp_pos,opp_pts
82,2019-06-15,3,302071,82,0,20,0.0,0.0,0.0,0.0,Namibia,21,62.338173,Russia,20,63.47849300000001
53,2019-05-25,1,302004,53,10,53,,,,,Paraguay,42,48.04934,Chile,29,54.03732
28,2019-05-25,1,302004,28,53,10,,,,,Chile,29,54.03732,Paraguay,42,48.04934
57,2019-06-15,3,302071,57,20,0,2.0,2.0,2.0,0.0,Russia,20,63.47849300000001,Namibia,21,62.338173
117532,2019-05-25,1,300943,117532,19,43,,,,,Estonia,-1,-1.0,Turkey,-1,-1.0
36,2019-05-25,1,301962,36,16,38,,,,,Malaysia,45,47.078106,Korea,30,53.67304
171355,2019-05-25,1,300943,171355,43,19,,,,,Turkey,-1,-1.0,Estonia,-1,-1.0
49,2019-05-25,1,301962,49,38,16,,,,,Korea,30,53.67304,Malaysia,45,47.078106
97,2019-05-18,1,302003,97,43,13,,,,,Colombia,35,49.842087,Paraguay,38,48.968266
68,2019-05-25,1,300950,68,13,30,,,,,Norway,94,30.456757,Latvia,58,43.43337
53,2019-05-18,1,302003,53,13,43,,,,,Paraguay,38,48.968266,Colombia,35,49.842087
87,2019-05-25,1,300950,87,30,13,,,,,Latvia,58,43.43337,Norway,94,30.456757
130,2019-05-18,3,301960,130,8,17,,,,,Guam,69,38.71173,Kazakhstan,62,42.1372
95,2019-05-18,3,301960,95,17,8,,,,,Kazakhstan,62,42.1372,Guam,69,38.71173
33,2019-05-18,1,302030,33,19,38,3.0,2.0,0.0,0.0,Brazil,24,59.049484,Uruguay,16,69.08665500000001
86,2019-05-18,1,300948,86,91,5,,,,,Slovenia,71,37.772102,Slovakia,-1,-1.0
134,2019-05-18,1,300948,134,5,91,,,,,Slovakia,-1,-1.0,Slovenia,71,37.772102
29,2019-05-18,1,302030,29,38,19,5.0,2.0,1.0,0.0,Uruguay,16,69.08665500000001,Brazil,24,59.049484
80,2019-05-18,1,300947,80,33,0,,,,,Andorra,78,35.23755300000001,Serbia and Montenegro,-1,-1.0
38,2019-05-15,1,301958,38,35,20,,,,,Thailand,76,35.957405,Kazakhstan,62,42.1372
47,2019-05-18,1,300947,47,0,33,,,,,Serbia and Montenegro,-1,-1.0,Andorra,78,35.23755300000001
38,2019-05-18,1,301961,38,12,50,,,,,Thailand,76,35.957405,United Arab Emirates,70,37.92662
95,2019-05-15,1,301958,95,20,35,,,,,Kazakhstan,62,42.1372,Thailand,76,35.957405
23,2018-11-24,3,300905,23,32,27,4.0,3.0,2.0,0.0,Japan,11,75.24273000000002,Russia,19,65.20222
133753,2019-05-18,1,301961,133753,50,12,,,,,United Arab Emirates,70,37.92662,Thailand,76,35.957405
57,2018-11-24,3,300905,57,27,32,2.0,1.0,4.0,0.0,Russia,19,65.20222,Japan,11,75.24273000000002
53,2019-05-11,1,302029,53,10,66,,,,,Paraguay,36,49.59372000000001,Brazil,24,58.42403
97,2019-05-11,1,302001,97,3,79,,,,,Colombia,35,49.842087,Argentina,10,77.04916
28,2019-05-11,1,302000,28,32,39,5.0,2.0,1.0,0.0,Chile,29,54.03732,Uruguay,16,69.08665500000001
33,2019-05-11,1,302029,33,66,10,,,,,Brazil,24,58.42403,Paraguay,36,49.59372000000001
10,2019-05-11,1,302001,10,79,3,,,,,Argentina,10,77.04916,Colombia,35,49.842087
29,2019-05-11,1,302000,29,39,32,5.0,2.0,2.0,0.0,Uruguay,16,69.08665500000001,Chile,29,54.03732
41,2019-05-11,1,300944,41,41,20,,,,,Bulgaria,91,31.101856,Andorra,74,37.202675
80,2019-05-11,1,300944,80,20,41,,,,,Andorra,74,37.202675,Bulgaria,91,31.101856
2,2019-03-09,1,295107,2,11,18,1.0,0.0,2.0,0.0,Scotland,7,79.60557,Wales,3,88.29608
4,2019-03-09,1,295107,4,18,11,2.0,1.0,2.0,0.0,Wales,3,88.29608,Scotland,7,79.60557
264121,2018-05-09,3,298542,264121,16,49,,,,,Lesotho,-1,-1.0,Mauritius,90,31.26596
132,2018-05-09,3,298542,132,49,16,,,,,Mauritius,90,31.26596,Lesotho,-1,-1.0
12,2019-03-09,1,300920,12,22,20,1.0,0.0,4.0,0.0,Romania,20,64.07855,Russia,18,65.011215
57,2019-03-09,1,300920,57,20,22,4.0,0.0,0.0,0.0,Russia,18,65.011215,Romania,20,64.07855
